safety_bonus,performance_bonus,mean_social_welfare
25,25,-114.175
25,50,-151.025
25,75,-181.975
25,100,-200.775
25,125,-221.35
25,150,-234.925
25,175,-270.675
25,200,-293.325
25,225,-327.25
25,250,-338.725
50,25,-124.125
50,50,-133.5
50,75,-167.65
50,100,-183.5
50,125,-211.075
50,150,-243.55
50,175,-273.05
50,200,-291.95
50,225,-320.3
50,250,-331.85
75,25,-137.375
75,50,-162.025
75,75,-184.25
75,100,-207.475
75,125,-218.325
75,150,-249.625
75,175,-278.3
75,200,-300.325
75,225,-333.825
75,250,-349.275
100,25,-148.75
100,50,-169.75
100,75,-194.8
100,100,-214.7
100,125,-248.475
100,150,-268.3
100,175,-299.95
100,200,-325.5
100,225,-341.2
100,250,-367.35
125,25,-163.5
125,50,-190.175
125,75,-214.2
125,100,-240.175
125,125,-268.375
125,150,-289.05
125,175,-312.95
125,200,-340.85
125,225,-368.5
125,250,-390.75
150,25,-189.825
150,50,-210.05
150,75,-245.825
150,100,-258.35
150,125,-287.3
150,150,-313.8
150,175,-342.425
150,200,-361.1
150,225,-387.9
150,250,-414.45
175,25,-210.975
175,50,-232.675
175,75,-260.875
175,100,-284.075
175,125,-307.75
175,150,-338.125
175,175,-365.6
175,200,-386.025
175,225,-408.475
175,250,-436.025
200,25,-232.375
200,50,-259.2
200,75,-284.15
200,100,-305.0
200,125,-333.0
200,150,-366.15
200,175,-385.725
200,200,-412.4
200,225,-433.175
200,250,-458.55
225,25,-259.7
225,50,-281.65
225,75,-308.125
225,100,-332.05
225,125,-361.875
225,150,-388.275
225,175,-407.0
225,200,-437.65
225,225,-460.15
225,250,-482.9
250,25,-280.1
250,50,-304.75
250,75,-329.35
250,100,-360.25
250,125,-389.75
250,150,-401.05
250,175,-434.825
250,200,-460.5
250,225,-482.425
250,250,-502.0
