RunId,iteration,contract_type,ActionIndex,Ep,Es,QValue
0,0,optimal,0,0.0,0.0,0.0
0,0,optimal,1,0.0,2.0,32.0426996368003
0,0,optimal,2,0.0,4.0,34.08323246775741
0,0,optimal,3,1.5,0.0,0.05969943559336788
0,0,optimal,4,1.5,2.0,29.428508654112374
0,0,optimal,5,1.5,4.0,35.838010049110515
0,0,optimal,6,3.0,0.0,0.0638312636030329
0,0,optimal,7,3.0,2.0,35.03097498506434
0,0,optimal,8,3.0,4.0,39.26794361902973
1,1,optimal,0,0.0,0.0,0.0
1,1,optimal,1,0.0,2.0,31.3677221530171
1,1,optimal,2,0.0,4.0,39.230374900928204
1,1,optimal,3,1.5,0.0,0.050986355424746055
1,1,optimal,4,1.5,2.0,33.69147213583886
1,1,optimal,5,1.5,4.0,35.36856020859047
1,1,optimal,6,3.0,0.0,0.06291679595053781
1,1,optimal,7,3.0,2.0,35.4726519691568
1,1,optimal,8,3.0,4.0,34.42685814400497
2,2,optimal,0,0.0,0.0,0.0
2,2,optimal,1,0.0,2.0,32.88537478486905
2,2,optimal,2,0.0,4.0,37.13953736503354
2,2,optimal,3,1.5,0.0,0.04860890362500487
2,2,optimal,4,1.5,2.0,31.611519068784006
2,2,optimal,5,1.5,4.0,34.83384320568448
2,2,optimal,6,3.0,0.0,0.06402328085737227
2,2,optimal,7,3.0,2.0,33.62399458542131
2,2,optimal,8,3.0,4.0,35.56447863013712
3,3,optimal,0,0.0,0.0,3.925392797985492e-08
3,3,optimal,1,0.0,2.0,35.533885812046215
3,3,optimal,2,0.0,4.0,35.007524361857946
3,3,optimal,3,1.5,0.0,0.08345526382723509
3,3,optimal,4,1.5,2.0,35.05413332068315
3,3,optimal,5,1.5,4.0,35.0997803547327
3,3,optimal,6,3.0,0.0,0.10081990591693836
3,3,optimal,7,3.0,2.0,34.96703021134694
3,3,optimal,8,3.0,4.0,37.80509448052979
4,4,optimal,0,0.0,0.0,0.0
4,4,optimal,1,0.0,2.0,28.433246810545263
4,4,optimal,2,0.0,4.0,35.70803524862905
4,4,optimal,3,1.5,0.0,0.046550695034599014
4,4,optimal,4,1.5,2.0,34.66474442397452
4,4,optimal,5,1.5,4.0,39.29052452993153
